,Food Code,Food Name,water(g),protein(g),TotalFat(g),TotalFibre(g),Carbohydrate(g),Energy(kJ),VitaminB1(mg),VitaminB2(mg),VitaminB3(g),VitaminB5(mg),VitaminB6(mg),VitaminB7(ug),VitaminB9(ug),Arsenic(ug),Calcium(mg),Cobalt(mg),Copper(mg),Iron(mg),Lead(mg),Magnesium(mg),Mercury(ug),Phophorus(mg),Potassium(mg),Sodium(mg),Zinc(mg),TotalStarch(g),Fructose(g),Glucose(g),Sucrose(g),TotalFreeSugars(g)
,B015,"Lentil whole, yellowish (Lens culinaris)",9.75,22.87,0.61,16.66,47.91,1246,0.42,0.22,2.56,1.68,0.47,1.63,121,,76.66,0.012,0.88,7.91,0.016,86.38,1.62,261,764,10.87,3.31,42.08,0.5,0.23,0.77,1.5
,B016,Moth bean (Vigna aconitifolia),8.14±0.49,19.75±0.38,1.76±0.09,15.12±0.49,52.09±0.96,1291±16,0.45±0.070,0.09±0.005,1.87±0.08,1.41±0.06,0.16±0.009,2.12±0.21,349±10.8,,154±17.0,0.019±0.007,0.64±0.06,7.90±0.17,,205±13.5,,362±31.7,1356±53.2,26.34±0.10,1.92±0.08,46.64±0.76,0.10±0.01,0.62±0.03,0.64±0.11,1.36±0.11
,B017,"Peas, dry (Pisum sativum)",9.33±0.61,20.43±0.79,1.89±0.08,17.01±0.63,48.93±0.45,1269±13,0.56±0.049,0.16±0.013,2.69±0.15,1.26±0.03,0.26±0.045,0.53±0.12,110±9.3,,75.11±13.93,0.009±0.004,0.68±0.06,5.09±0.45,0.005±0.003,123±8.1,1.83±3.36,334±18.3,922±67.4,23.40±0.07,3.10±0.14,43.04±2.09,0.61±0.04,0.48±0.26,0.94±0.08,2.03±0.26
,B018,"Rajmah, black (Phaseolus vulgaris)",8.69,19.01,1.62,17.74,49.59,1247,0.21,0.19,2.61,1.91,0.23,0.63,332,,134,0.006,0.87,6.17,0.012,160,,386,1362,9.4,3.08,38.45,,0.18,1.84,2.02
,B019,"Rajmah, brown (Phaseolus vulgaris)",9.68±0.79,19.50±0.84,1.68±0.07,16.95±0.27,48.83±0.59,1245±12,0.26±0.035,0.21±0.005,2.37±0.12,2.06±0.05,0.21±0.016,0.77±0.13,330±29.6,,134±17.6,0.024±0.024,0.89±0.12,6.30±0.61,0.006±0.005,164±22.3,1.48±0.18,396±32.5,1366±113,10.47±0.10,2.60±0.17,38.05±2.28,,0.39±0.16,1.88±0.49,2.27±0.53
,B020,"Rajmah, red (Phaseolus vulgaris)",9.87±0.30,19.91±1.44,1.77±0.04,16.57±0.63,48.61±0.65,1252±14,0.30±0.020,0.19±0.018,2.42±0.15,1.82±0.10,0.21±0.033,0.77±0.18,316±20.1,,126±8.1,0.013±0.004,0.78±0.08,6.13±0.77,0.003±0.000,173±9.7,,409±32.4,1324±195,10.45±0.05,2.69±0.34,38.55±0.28,,0.23±0.04,1.29±0.23,1.52±0.26
,B021,"Red gram, dal (Cajanus cajan)",9.20±0.61,21.70±0.50,1.56±0.03,9.06±0.30,55.23±0.83,1384±10,0.45±0.046,0.11±0.006,2.09±0.14,1.27±0.08,0.24±0.026,0.31±0.04,108±8.7,,71.73±6.41,0.003±0.002,1.14±0.14,3.90±0.46,0.003±0.001,119±15.3,1.56±0.34,328±17.2,1395±118,18.01±0.12,2.63±0.10,48.53±1.24,0.10±0.02,0.20±0.02,1.78±0.17,2.08±0.14
,B022,"Red gram, whole (Cajanus cajan)",9.30±0.45,20.47±0.72,1.38±0.08,22.84±0.43,42.48±0.77,1146±10,0.74±0.028,0.15±0.015,2.42±0.18,1.56±0.13,0.42±0.033,0.65±0.04,229±19.0,,139±11.8,0.020±0.007,1.32±0.15,5.37±1.36,0.004±0.001,155±23.1,2.22±0.47,312±38.3,1303±103,19.03±0.11,2.99±0.25,38.97±1.91,0.10±0.01,0.20±0.02,1.00±0.07,1.30±0.09
,B023,Ricebean (Vigna umbellata ),11.12,19.97,0.74,13.37,51.26,1265,0.46,0.14,2.32,0.98,0.13,2.65,122,,200,,0.75,4.76,,201,,270,1196,10.62,2.29,44.05,0.2,0.73,0.4,1.33
,B024,"Soya bean, brown (Glycine max)",5.51±0.13,35.58±0.66,19.82±0.26,21.55±0.66,12.79±0.97,1596±11,0.59±0.069,0.24±0.002,2.12±0.14,1.97±0.25,0.43±0.012,0.73±0.09,297±26.1,,239±26.6,0.049±0.012,1.29±0.22,8.29±0.51,,259±40.2,1.15±0.30,483±38.9,1613±75.6,2.07±0.05,4.01±0.51,6.65±1.34,0.20±0.02,0.63±0.25,1.68±0.39,2.51±0.43
