,Food Code,Food Name,water(g),protein(g),TotalFat(g),TotalFibre(g),Carbohydrate(g),Energy(kJ),VitaminB1(mg),VitaminB2(mg),VitaminB3(g),VitaminB5(mg),VitaminB6(mg),VitaminB7(ug),VitaminB9(ug),Arsenic(ug),Calcium(mg),Cobalt(mg),Copper(mg),Iron(mg),Lead(mg),Magnesium(mg),Mercury(ug),Phophorus(mg),Potassium(mg),Sodium(mg),Zinc(mg),TotalStarch(g),Fructose(g),Glucose(g),Sucrose(g),TotalFreeSugars(g)
,E034,"Lime, sweet,pulp (Citrus limetta)",91.32±0.33,0.76±0.09,0.20±0.06,2.07±0.11,5.18±0.37,114±5,0.06±0.005,0.01±0.003,0.17±0.02,0.25±0.03,0.05±0.013,2.23±0.23,15.38±4.15,,25.79±5.02,,0.03±0.00,0.11±0.02,0.000±0.000,15.40±1.42,,20.55±1.27,182±39.4,1.17±0.45,0.05±0.01,0.52±0.03,0.70±0.02,2.60±0.01,0.12±0.01,3.42±0.01
,E035,Litchi (Nephelium litchi),85.56±0.27,0.99±0.09,0.26±0.02,1.34±0.05,11.41±0.20,225±5,0.02±0.003,0.06±0.008,0.23±0.02,0.19±0.10,0.07±0.010,2.80±0.34,15.69±5.09,0.21±0.11,5.77±0.80,,0.11±0.02,0.79±0.21,,14.58±1.67,,23.32±3.13,161±35.6,0.54±0.14,0.24±0.09,,4.05±0.04,2.17±0.04,3.08±0.02,9.30±0.06
,E036,"Mango, ripe, banganapalli (Mangifera indica)",88.44±0.55,0.54±0.10,0.55±0.03,1.88±0.15,8.18±0.49,175±9,0.03±0.005,0.04±0.004,0.26±0.03,0.12±0.02,0.12±0.02,1.60±0.11,82.05±7.90,,15.77±1.64,,0.10±0.01,0.51±0.17,0.002±0.001,13.35±1.07,,11.07±2.00,144±15.3,1.34±0.06,0.12±0.04,,2.38±0.03,0.73±0.02,4.66±0.09,7.77±0.07
,E037,"Mango, ripe, gulabkhas (Mangifera indica)",86.65,0.52,0.53,1.67,10.32,209,0.03,0.04,0.23,0.11,0.13,1.01,84.35,,19.33,,0.07,0.38,0.001,11.53,,10.66,115,1.39,0.06,,3.9,2.6,1.63,8.13
,E038,"Mango, ripe, himsagar (Mangifera indica)",88.04±0.10,0.46±0.04,0.54±0.02,1.55±0.13,9.03±0.26,187±5,0.03±0.005,0.03±0.004,0.27±0.04,0.11±0.00,0.10±0.030,1.46±0.02,90.98±6.12,,15.54±1.84 ,0.001±0.002 ,0.08±0.01 ,0.29±0.05 ,0.002±0.002,12.07±0.78,,12.25±4.15,137±17.7,1.31±0.02,0.12±0.07,,4.50±0.01,0.55±0.04,3.01±0.02,8.06±0.07
,E039,"Mango, ripe, kesar (Mangifera indica)",85.07±0.59,0.54±0.05,0.57±0.03,2.02±0.20,11.36±0.49,231±8,0.03±0.007,0.04±0.006,0.26±0.02,0.11±0.01,0.10±0.014,1.67±0.23,90.43±8.24,,15.74±0.89,,0.07±0.01,0.43±0.19,0.002±0.002,12.53±1.19,,12.36±0.38,143±21.5,1.43±0.03,0.10±0.04,,4.80±0.02,2.65±0.01,1.55±0.04,9.00±0.05
,E040,"Mango, ripe, neelam (Mangifera indica)",88.41,0.68,0.55,1.77,8.21,178,0.03,0.04,0.23,0.14,0.12,1.02,68.7,,11.36,,0.08,0.36,,10.1,,11.63,137,1.2,0.07,,4.42,2.71,0.81,7.94
,E041,"Mango, ripe, paheri (Mangifera indica)",87.69,0.68,0.58,1.97,8.67,188,0.03,0.04,0.28,0.1,0.23,1.73,65.28,,15.11,,0.11,0.51,0.001,14.28,,15.18,153,1.63,0.2,,4.95,2.46,1.07,8.48
,E042,"Mango, ripe, totapari (Mangifera indica)",84.14,0.41,0.49,1.73,12.75,248,0.02,0.05,0.27,0.13,0.12,1.64,77.69,,13.34,,0.08,0.28,,12.55,,9.87,160,1.32,0.08,,7.33,1.05,0.86,9.24
,E043,Mangosteen (Garcinia mangostana),85.52,0.63,0.24,1.87,11.41,219,0.01,0.01,0.58,0.15,0.18,0.81,13.52,0.05,4.69,1.501,0.11,0.28,0.056,12,0.03,7.18,46.93,3.79,0.21,0.5,5.12,1.67,2.12,8.91
,E044,Manila tamarind (Pithecellobium dulce),74.54,3.56,1.14,4.4,13.54,342,0.18,0.14,0.4,0.18,0.04,0.22,4.24,,8.51,,0.22,0.71,,32.98,,73.53,376,1.35,0.56,0.5,3.45,4.12,4.56,12.13
,E045,"Musk melon, orange flesh (Cucumis melon)",92.97±0.38,0.42±0.06,0.35±0.02,1.51±0.28,4.24±0.40,97±8,0.01±0.000,0.01±0.003,0.41±0.05,0.13±0.02,0.05±0.005,0.75±0.18,22.31±2.48,0.03±0.04,9.80±2.14,0.001±0.001,0.03±0.02,0.18±0.04,0.003±0.001,11.62±3.20,,17.28±1.65,206±41.9,14.94±2.71,0.09±0.03,,0.62±0.02,0.71±0.01,1.65±0.06,2.99±0.05
,E046,"Musk melon, yellow flesh (Cucumis melon)",91.84±0.93,0.53±0.05,0.26±0.02,1.49±0.10,5.40±1.04,116±18,0.01±0.018,0.02±0.013,0.43±0.08,0.11±0.03,0.06±0.015,0.80±0.08,20.23±5.16,,9.02±2.95,0.001±0.000,0.05±0.02,0.21±0.06,0.003±0.001,9.81±2.68,,13.09±2.91,196±42.2,15.78±3.74,0.09±0.02,,0.51±0.02,0.84±0.02,1.01±0.03,2.36±0.06
,E047,"Orange, pulp (Citrus aurantium)",89.61±0.19,0.70±0.12,0.13±0.02,1.29±0.05,7.92±0.27,156±4,0.07±0.009,0.02±0.005,0.28±0.04,0.20±0.05,0.04±0.003,2.88±0.42,19.46±1.09,,19.52±1.48,,0.03±0.01,0.81±0.04,,11.05±0.52,,12.90±4.47,164±23.6,1.47±0.05,0.04±0.01,,2.86±0.03,1.21±0.02,2.79±0.03,6.86±0.06
,E048,"Palm fruit, tender (Borassus flabellifer)",91.93,0.5,0.12,2.4,4.92,101,0.01,0.46,,0.13,0.07,2.49,24.4,,,,,,,,,,158,1.25,0.05,0.84,0.17,0.02,,0.19
,E049,"Papaya, ripe (Carcia papaya)",91.47±0.76,0.42±0.05,0.16±0.01,2.83±0.26,4.61±0.48,100±9,0.03±0.009,0.11±0.008,0.33±0.03,0.44±0.07,0.04±0.003,3.05±0.27,60.90±6.64,,15.02±1.47,,0.04±0.01,0.23±0.02,,10.97±2.21,,17.73±3.53,173±12.4,6.68±0.16,0.08±0.03,,2.44±0.13,1.15±0.02,0.50±0.03,4.09±0.17
,E050,Peach (Prunus communis),88.31,0.86,0.37,2.13,7.82,168,0.02,0.02,0.29,0.15,0.1,1.43,6.34,0.11,6.98,0.276,0.08,0.35,0.011,8.06,0.01,19.08,281,1.15,0.1,,1.15,0.89,4.61,6.95
,E051,Pear (Pyrus sp.),86.49±0.18,0.36±0.04,0.27±0.04,4.48±0.08,8.09±0.23,157±3,0.02±0.005,0.02±0.008,0.13±0.03,0.05±0.01,0.09±0.015,1.41±0.27,5.28±1.17,,6.55±1.39,0.001±0.000,0.08±0.02,0.28±0.10,0.002±0.001,7.61±1.23,,6.74±1.79,106±6.6,1.64±0.08,0.07±0.02,,3.51±0.21,2.74±0.30,1.12±0.01,7.39±0.77
,E052,Phalsa (Grewia asiatica),77.48,1.66,0.14,4.54,15.09,299,0.03,0.06,0.4,0.17,0.03,1.49,22.56,0.92,153,,0.24,2.01,,76.92,0.17,23.65,362,1.99,0.48,0.75,6.12,4.66,2.22,13
,E053,Pineapple (Ananas comosus),86.06±1.19,0.52±0.09,0.16±0.02,3.46±0.12,9.42±1.15,180±19,0.05±0.007,0.03±0.011,0.12±0.02,0.13±0.02,0.13±0.015,1.05±0.23,18.21±1.65,0.24±0.25,10.88±1.91,0.001±0.000,0.07±0.03,0.28±0.11,0.002±0.001,12.68±4.32,,13.56±4.36,143±22.2,1.43±0.10,0.10±0.02,,1.21±0.02,3.12±0.02,4.23±0.02,8.56±0.05
,E054,Plum (Prunus domestica),84.44±1.25,0.64±0.13,0.40±0.16,2.07±0.36,12.10±1.47,238±19,0.02±0.011,0.02±0.001,0.44±0.02,0.16±0.05,0.05±0.007,0.30±0.17,14.29±1.96,0.03±0.04,7.61±0.94,0.297±0.024,0.41±0.39,0.25±0.09,0.003±0.001,7.79±1.00,0.01±0.00,13.83±3.85,162±3.3,1.55±0.09,0.10±0.04,,3.50±0.03,3.42±0.03,3.21±0.03,10.13±0.03
,E055,"Pomegranate, maroon seeds (Punica granatum)",83.55±0.39,1.33±0.07,0.15±0.02,2.83±0.06,11.58±0.43,229±6,0.06±0.005,0.01±0.004,0.20±0.03,0.42±0.04,0.29±0.032,0.60±0.09,38.64±2.93,,10.65±1.82,0.001±0.000,0.13±0.03,0.31±0.06,0.003±0.001,11.07±0.96,,27.20±10.01,206±32.9,2.13±0.10,0.18±0.04,,1.01±0.03,1.74±0.04,8.12±0.04,10.87±0.05
,E056,Pummelo (Citrus maxima),86.97±1.52,0.68±0.06,0.42±0.01,0.80±0.04,10.64±1.54,210±26,0.06±0.045,0.02±0.011,0.23±0.08,0.05±0.03,0.04±0.011,1.81±0.30,13.44±1.47,0.33±0.10,14.03±4.73,,0.03±0.01,0.06±0.01,0.006±0.003,6.83±1.69,0.03±0.01,13.99±1.75,189±15.4,1.06±0.49,0.06±0.01,0.46±0.02,2.09±0.02,1.44±0.03,0.86±0.04,4.38±0.07
,E057,"Raisins, dried, black (Vitis vinifera)",19.69±0.59,2.57±0.20,0.34±0.02,3.92±0.23,71.29±0.48,1279±12,0.09±0.013,0.04±0.017,0.48±0.04,0.21±0.05,0.17±0.020,0.73±0.11,38.30±4.98,,73.24±5.48,0.003±0.001,0.47±0.12,6.81±0.91,0.005±0.001,33.76±6.09,,77.62±8.95,1105±145,10.99±1.77,0.22±0.07,1.29±0.03,23.12±1.79,16.22±0.66,22.17±0.93,61.51±2.02
,E058,"Raisins, dried, golden (Vitis vinifera)",21.50±0.51,2.76±0.26,0.35±0.03,4.56±0.50,68.79±1.00,1241±16,0.09±0.012,0.04±0.006,0.64±0.05,0.18±0.06,0.17±0.03,0.75±0.14,34.68±4.36,,51.83±5.26,0.003±0.001,0.39±0.04,4.26±0.60,0.008±0.003,28.32±6.15,,93.30±7.18,913±59.9,10.16±0.04,0.25±0.05,1.05±0.03,26.54±0.56,15.58±2.03,15.00±0.23,57.12±2.02
,E059,Rambutan (Nephelium lappaceum),80.87,0.68,0.16,1.02,16.84,306,0.11,0.01,0.26,0.14,0.04,0.64,7.35,,8.67,,0.08,0.37,,21.38,,6.98,131,1.75,0.53,,8.78,6,1.02,15.8
,E060,Sapota (Achras sapota),73.64±1.01,0.92±0.07,1.26±0.02,9.60±0.57,13.90±1.13,307±18,0.01±0.001,0.03±0.005,0.24±0.02,0.24±0.02,0.12±0.019,1.48±0.31,10.83±1.91,,17.87±3.38,,0.07±0.03,0.49±0.33,,16.19±2.51,,22.26±1.34,280±8.6,4.61±0.08,0.18±0.01,,8.60±0.03,2.85±0.06,0.85±0.03,12.30±0.05
,E061,Soursop (Annona muricata),80.85,0.74,0.94,4.95,11.94,260,0.03,0.04,0.85,0.12,0.03,0.23,6.09,,10.05,,0.14,0.29,0.013,17.7,,25.83,264,6.78,0.12,0.12,7.99,1.66,0.18,9.83
,E062,Star fruit (Averrhoa carambola),91.18,0.79,0.39,2.81,4.51,110,0.08,0.02,0.34,0.26,0.06,0.13,8.43,0.05,4.97,0.002,0.07,0.45,0.01,11.53,0.04,11.67,159,1.56,0.24,,2.22,1.73,,3.95
,E063,Strawberry (Fragaria ananassa),92.03±0.64,0.97±0.10,0.56±0.02,2.50±0.03,3.40±0.64,103±11,0.06±0.063,0.01±0.003,0.48±0.11,0.18±0.06,0.09±0.026,0.07±0.04,8.91±3.84,,15.28±3.37,,0.07±0.01,0.36±0.03,,15.53±1.31,,26.31±2.09,140±5.7,1.19±0.67,0.14±0.02,0.10±0.01,1.90±0.05,1.60±0.14,0.07±0.03,3.56±0.11
,E064,"Tamarind, pulp (Tamarindus indicus)",20.83±0.57,2.92±0.22,0.15±0.02,5.31±0.27,67.35±0.45,1207±7,0.34±0.039,0.07±0.004,1.56±0.16,0.17±0.02,0.08±0.013,0.66±0.04,9.79±0.80,,149±13.9,0.002±0.001,0.50±0.09,9.16±1.71,0.014±0.003,82.73±8.55,,113±18.1,836±8.1,24.92±2.45,0.58±0.05,,12.31±1.27,14.53±0.83,26.04±1.08,52.88±2.38
,E065,"Water melon, dark green (sugar baby) (Citrullus vulgaris)",94.54±0.63,0.60±0.06,0.16±0.01,0.70±0.14,3.86±0.59,85±10,0.02±0.004,0.02±0.003,0.28±0.03,0.19±0.01,0.10±0.019,0.59±0.06,5.88±0.55,,5.29±1.09,0.001±0.001,0.04±0.01,0.22±0.14,0.001±0.001,9.91±0.73,,11.33±2.50,124±7.5,1.89±0.33,0.10±0.02,,1.91±0.15,0.31±0.03,1.44±0.02,3.66±0.27
,E066,"Water melon, pale green (Citrullus vulgaris)",95.33±0.22,0.59±0.03,0.16±0.01,0.78±0.11,3.02±0.21,70±4,0.02±0.003,0.02±0.002,0.30±0.04,0.19±0.00,0.07±0.025,0.57±0.06,5.55±1.61,,4.35±0.88,0.001±0.000,0.03±0.01,0.16±0.07,0.001±0.000,7.42±1.71,,8.09±1.76,126±5.6,1.62±0.31,0.07±0.01,,2.57±0.39,0.21±0.02,0.22±0.01,3.00±0.25
,E067,Wood Apple (Limonia acidissima),79.36±0.17,3.14±0.30,3.62±0.03,5.21±0.38,7.52±0.58,327±3,0.04±0.009,0.01±0.001,0.55±0.05,0.22±0.02,0.17±0.021,1.65±0.14,6.51±0.44,,55.71±7.46,0.001±0.000,0.20±0.04,0.45±0.06,0.004±0.001,23.70±1.68,,84.32±4.00,347±28.5,1.48±0.36,0.31±0.03,2.79±0.02,1.38±0.02,1.41±0.02,1.02±0.02,3.81±0.02
,E068,Zizyphus (Zizyphus jujube),84.39,1.34,0.35,3.73,9.4,204,0.01,0.02,0.33,0.14,0.11,2.22,5.99,,46.55,,0.12,0.4,,16.72,,32.38,237,1.52,0.1,,4.3,2.98,1.01,8.29
F ROOTS AND TUBERS,F001,Beet root (Beta vulgaris),86.95±0.50,1.95±0.14,0.14±0.01,3.31±0.32,6.18±0.61,149±9,0.01±0.001,0.01±0.002,0.21±0.01,0.26±0.04,0.07±0.011,2.56±0.19,97.37±7.06,,17.28±2.25 ,0.001±0.000 ,0.12±0.03 ,0.76±0.12 ,,33.21±2.70 ,,36.33±4.84 ,306±26.9 ,69.44±0.83 ,0.30±0.09,1.69±0.43,1.67±0.02,1.46±0.02,1.21±0.03,4.35±0.02
,F002,"Carrot, orange (Dacus carota)",87.69±0.56,0.95±0.15,0.47±0.02,4.18±0.30,5.55±0.48,139±9,0.04±0.003,0.03±0.003,0.22±0.02,0.30±0.03,0.11±0.016,1.50±0.23,24.04±2.07,,35.09±5.89,,0.08±0.01,0.60±0.24,,16.73±3.20,,43.06±6.46,273±28.2,52.33±0.62,0.25±0.03,1.24±0.27,0.11±0.02,1.15±0.03,1.98±0.02,3.23±0.03
,F003,"Carrot, red (Dacus carota)",86.07±1.34,1.04±0.09,0.47±0.04,4.49±0.19,6.71±1.11,160±19,0.04±0.017,0.03±0.016,0.25±0.05,0.27±0.04,0.07±0.012,1.30±0.14,23.67±3.25,,41.06±8.47,,0.10±0.03,0.71±0.37,,18.83±7.02,,25.81±11.63,267±15.7,60.69±7.21,0.34±0.09,1.39±0.05,1.08±0.02,1.13±0.02,1.75±0.02,3.96±0.03
,F004,Colocasia (Colocasia antiquorum),73.49±0.32,3.31±0.59,0.17±0.03,3.22±0.34,17.85±0.94,372±9,0.06±0.007,0.03±0.002,0.51±0.09,0.12±0.02,0.17±0.038,3.69±0.22,19.91±2.90,,30.18±3.86,0.003±0.002,0.30±0.03,0.66±0.09,,36.93±4.86,,81.16±11.90,514±2.8,4.54±1.06,0.41±0.09,13.88±0.74,0.54±0.03,0.25±0.03,0.12±0.02,0.90±0.05
,F005,Lotus root (Nelumbium nelumbo),76.26±0.87,1.94±0.32,0.93±0.06,4.70±0.04,14.67±0.45,332±14,0.07±0.008,0.05±0.023,0.43±0.05,0.20±0.02,0.19±0.017,2.85±0.32,26.49±6.85,3.89±2.13,37.71±2.79,0.004±0.001,0.22±0.02,3.34±1.31,0.001±0.001,26.58±1.74,,74.30±7.54,611±105,20.63±1.33,0.35±0.11,13.22±0.82,0.07±0.02,0.11±0.02,0.07±0.02,0.24±0.04
,F006,"Potato, brown skin, big (Solanum tuberosum)",80.72±0.40,1.54±0.17,0.23±0.02,1.71±0.03,14.89±0.40,292±7,0.06±0.004,0.01±0.001,1.04±0.14,0.38±0.06,0.10±0.008,1.35±0.17,15.51±1.66,,9.52±1.09,0.005±0.002,0.09±0.02,0.57±0.20,,24.07±7.55,0.29±0.03,43.42±8.44,541±5.3,4.11±0.06,0.28±0.03,11.47±0.71,0.24±0.02,0.05±0.02,0.04±0.02,0.32±0.02
,F007,"Potato, brown skin, small (Solanum tuberosum)",82.97,1.35,0.22,1.69,12.9,255,0.05,0.01,1.36,0.49,0.12,1.82,13.85,,8.53,0.003,0.14,0.53,,22.34,,37.9,474,3.97,0.38,10.29,0.26,0.08,0.1,0.44
,F008,"Potato, red skin (Solanum tuberosum)",79.72,1.83,0.22,1.68,15.43,306,0.06,0.01,1.13,0.39,0.1,1.68,17.83,,8.62,0.001,0.15,0.66,,25.54,,30.39,501,4.36,0.34,13.08,0.22,0.1,0.05,0.38
,F009,"Radish, elongate, red skin (Raphanus sativus)",89.32±0.29,0.67±0.03,0.13±0.02,2.46±0.16,6.71±0.12,134±3,0.03±0.007,0.02±0.004,0.31±0.02,0.13±0.01,0.07±0.002,2.65±0.07,24.65±5.84,,28.44±1.88,0.001±0.000,0.03±0.00,0.37±0.11,,13.34±1.14,,27.51±6.96,255±6.0,24.73±2.82,0.16±0.02,0.41±0.02,0.48±0.06,0.27±0.04,0.40±0.04,1.15±0.03
,F010,"Radish, elongate, white skin (Raphanus sativus)",89.05±0.72,0.77±0.08,0.15±0.02,2.65±0.15,6.56±0.70,135±11,0.02±0.004,0.02±0.003,0.30±0.03,0.15±0.03,0.07±0.008,2.48±0.21,29.75±8.30,,30.20±3.58,0.001±0.001,0.03±0.01,0.36±0.22,,16.07±3.27,,30.10±10.91,288±30.9,28.20±5.92,0.22±0.09,0.59±0.09,0.31±0.05,0.03±0.01,0.62±0.03,0.95±0.04
,F011,"Radish, round, red skin (Raphanus sativus)",89.68,0.89,0.16,2.29,6.07,130,0.03,0.02,0.3,0.18,0.07,2.92,24.59,,35.76,,0.03,0.42,,22.25,,28.27,308,32.27,0.18,0.64,0.38,0.18,0.3,0.86
,F012,"Radish, round, white skin (Raphanus sativus)",89.76,0.8,0.14,2.37,6.13,129,0.03,0.02,0.24,0.15,0.07,2.59,22.6,,34.23,0.001,0.04,0.41,,15.46,,29.47,287,24.14,0.17,0.3,0.36,0.3,0.5,1.16
,F013,"Sweet potato, brown skin (Ipomoes batatas)",69.21±0.83,1.33±0.12,0.26±0.06,3.99±0.05,24.25±0.77,456±15,0.07±0.085,0.04±0.012,0.67±0.09,0.89±0.10,0.12±0.006,5.19±0.78,15.62±2.13,0.15±0.16,27.50±5.24,0.002±0.002,0.17±0.02,0.35±0.03,,17.37±4.75,,42.96±1.95,345±24.3,29.60±5.32,0.16±0.05,18.82±1.74,0.46±0.04,0.71±0.04,2.47±0.05,3.63±0.05
,F014,"Sweet potato, pink skin (Ipomoes batatas)",69.58±0.22,1.27±0.09,0.33±0.06,3.94±0.10,23.93±0.15,452±4,0.06±0.012,0.04±0.001,0.69±0.12,0.56±0.34,0.09±0.007,5.71±0.28,14.44±2.06,0.09±0.04,28.93±3.24,0.001±0.001,0.15±0.03,0.51±0.16,,21.05±3.95,,37.60±4.74,329±37.6,29.04±3.64,0.14±0.03,19.88±1.53,0.90±0.03,0.97±0.02,2.16±0.04,4.03±0.03
,F015,Tapioca (Manihot esculenta),75.23±0.55,1.03±0.10,0.20±0.01,4.61±0.12,17.81±0.57,334±10,0.07±0.003,0.02±0.001,0.45±0.01,0.17±0.05,0.09±0.006,1.93±0.09,25.64±0.47,,25.89±6.52,0.002±0.001,0.19±0.04,0.81±0.18,0.001±0.001,23.08±4.06,,42.55±11.04,255±36.3,10.86±0.10,0.17±0.05,15.36±0.12,0.13±0.03,0.29±0.02,1.72±0.02,2.14±0.05
,F016,Water Chestnut (Eleocharis dulcis),73.34,0.86,0.37,3.02,21.46,400,0.02,0.02,0.74,0.52,0.13,1.08,9.8,0.6,37.15,0.003,0.19,0.77,0.029,57.43,0.02,62.83,382,13.08,0.67,15.93,0.12,0.32,1.51,1.95
,F017,"Yam, elephant (Amorphophallus campanulatus)",74.39±0.31,2.56±0.28,0.14±0.02,4.17±0.05,17.46±0.55,353±5,0.04±0.004,0.05±0.017,0.61±0.10,0.23±0.03,0.22±0.044,4.51±0.37,20.54±2.42,,46.91±5.12,0.006±0.004,0.17±0.04,1.22±0.11,0.001±0.001,33.51±7.66,,43.06±5.98,501±84.3,14.33±2.20,0.26±0.04,14.36±0.18,0.70±0.02,0.16±0.03,0.72±0.03,1.58±0.05
,F018,"Yam, ordinary (Amorphophallus campanulatus)",74.28±0.63,2.18±0.26,0.17±0.02,4.08±0.07,17.65±0.57,349±12,0.04±0.003,0.02±0.006,0.56±0.06,0.32±0.04,0.17±0.06,4.19±0.41,15.68±1.61,,16.19±2.79,0.001±0.000,0.23±0.08,0.77±0.22,,30.40±3.90,,49.46±8.37,463±74.1,15.28±0.07,0.33±0.09,14.94±0.35,0.42±0.24,0.11±0.06,0.62±0.48,1.15±0.75
,F019,"Yam, wild (Dioscorea versicolor)",69.35,3.07,0.3,4.57,20.95,430,0.121,0.015,0.7,0.23,0.2,4.09,21.01,0.21,44.13,0.003,0.21,1.04,0.006,31.75,0.21,55.94,654,12.8,0.31,15.35,0.62,0.12,0.8,1.54
G CONDIMENTS AND SPICES-FRESH,G001,"Chillies, green-1 (Capsicum annum)",84.47±0.29,2.62±0.35,0.73±0.02,4.86±0.65,6.32±0.41,191±5,0.11±0.029,0.09±0.024,0.80±0.09,0.19±0.03,0.45±0.043,0.50±0.13,25.31±2.47,,24.10±7.08,0.003±0.002,0.19±0.06,1.46±0.30,0.001±0.000,34.72±8.28,,62.16±14.29,431±53.8,3.32±0.66,0.31±0.08,2.31±0.01,0.54±0.03,0.16±0.03,0.02±0.00,0.71±0.03
,G002,"Chillies, green-2 (Capsicum annum)",85.72±0.49,2.28±0.13,0.75±0.04,5.13±0.56,5.27±0.42,167±7,0.08±0.009,0.09±0.042,0.93±0.16,0.20±0.03,0.29±0.048,0.64±0.12,25.93±5.56,,16.86±2.36,0.003±0.001,0.15±0.03,1.24±0.38,0.001±0.001,27.54±6.31,,51.72±9.20,321±41.7,2.47±0.50,0.26±0.06,1.96±0.04,0.93±0.03,0.11±0.02,0.02±0.01,1.05±0.05
,G003,"Chillies, green-3 (Capsicum annum)",85.59±0.79,2.38±0.40,0.75±0.02,5.10±0.10,5.23±0.71,169±12,0.09±0.035,0.11±0.034,0.87±0.17,0.24±0.13,0.24±0.030,0.64±0.05,20.45±1.69,,18.04±3.56,0.005±0.004,0.14±0.06,1.25±0.08,,29.90±6.97,,50.24±12.28,317±72.7,2.56±1.04,0.27±0.08,1.85±0.02,0.45±0.04,0.08±0.02,0.02±0.01,0.54±0.04
,G004,"Chillies, green-4 (Capsicum annum)",85.29±0.53,2.33±0.30,0.74±0.01,4.15±0.29,6.63±0.61,190±9,0.09±0.057,0.12±0.025,0.90±0.07,0.23±0.05,0.18±0.029,0.62±0.08,15.92±1.13,,15.87±1.49,0.005±0.003,0.16±0.11,1.08±0.28,0.005±0.000,29.74±8.00,,42.79±2.85,318±25.0,1.94±0.60,0.28±0.15,1.65±0.03,0.47±0.05,0.14±0.02,0.01±0.00,0.62±0.06
,G005,"Chillies, green-5 (Capsicum annum)",85.93±0.11,2.01±0.26,0.65±0.03,3.95±0.60,6.64±0.39,180±10,0.08±0.047,0.16±0.031,1.06±0.08,0.20±0.03,0.20±0.025,0.57±0.05,17.75±2.38,,15.31±3.61,0.003±0.002,0.12±0.03,0.93±0.12,,23.96±6.20,,44.35±15.69,317±66.7,2.19±0.88,0.31±0.13,1.84±0.03,0.42±0.03,0.02±0.01,0.02±0.00,0.46±0.02
,G006,"Chillies, green-6 (Capsicum annum)",84.93,3.01,0.64,5.15,5.31,175,0.07,0.13,0.92,0.27,0.29,0.73,18.87,,24.82,0.005,0.14,0.75,,34.8,,56.05,340,2.43,0.29,1.7,0.43,0.15,0.01,0.59
,G007,"Chillies, green-7 (Capsicum annum)",85.83,2.12,0.6,4.95,5.61,163,0.08,0.11,0.8,0.24,0.22,1.21,19.39,,16.85,0.006,0.09,1.23,,26.71,,45.58,319,2,0.17,2.48,0.66,0.05,0.02,0.73
,G008,"Chillies, green - all varieties (Capsicum annum)",85.39±0.68,2.36±0.34,0.72±0.05,4.77±0.61,5.86±0.77,177±14,0.09±0.033,0.11±0.038,0.89±0.15,0.22±0.06,0.28±0.100,0.63±0.16,21.50±4.83,,18.45±4.86,0.004±0.003,0.15±0.06,1.20±0.30,0.002±0.002,29.51±7.13,,50.91±11.79,341±64.6,2.50±0.80,0.27±0.09,1.96±0.26,0.55±0.17,0.11±0.05,0.02±0.00,0.67±0.18
,G009,Coriander leaves (Coriandrum sativum),86.99±0.41,3.52±0.26,0.70±0.06,4.66±0.24,1.93±0.27,130±9,0.09±0.005,0.05±0.004,0.73±0.03,0.63±0.07,0.19±0.025,4.17±0.89,51.01±3.98,,146±13.0,0.002±0.001,0.24±0.04,5.30±1.55,0.001±0.001,72.68±14.20,,64.69±13.00,546±134,37.00±8.01,0.68±0.16,1.06±0.09,0.07±0.04,0.06±0.03,0.05±0.02,0.17±0.04
,G010,Curry leaves (Murraya koenigii),65.33±1.57,7.41±0.26,1.06±0.04,16.83±0.78,4.51±1.79,266±32,0.07±0.016,0.13±0.008,0.85±0.10,0.51±0.04,0.57±0.096,1.77±0.22,117±19.3,7.42±1.16,659±77.4,0.005±0.002,0.46±0.09,8.67±0.42,0.037±0.018,182±44.8,,83.29±14.06,584±113,18.66±4.13,1.18±0.51,3.08±0.16,0.41±0.03,0.20±0.01,,0.60±0.03
,G011,"Garlic, big clove (Allium sativum)",64.38±0.56,6.92±0.20,0.16±0.02,5.22±0.41,21.93±0.82,518±12,0.20±0.029,0.25±0.026,0.38±0.05,1.57±0.16,0.56±0.039,2.55±0.34,85.77±15.61,,20.08±5.73,0.001±0.000,0.19±0.02,1.05±0.15,0.001±0.000,27.08±7.89,,119±10.9,430±84,9.42±0.07,0.89±0.18,14.84±0.97,4.20±0.34,1.20±0.02,0.57±0.21,5.97±0.43
,G012,"Garlic, small clove (Allium sativum)",64.42±0.30,6.75±0.24,0.14±0.01,5.47±0.07,21.84±0.74,514±8,0.20±0.023,0.23±0.015,0.36±0.04,1.51±0.35,0.77±0.112,2.54±0.21,78.82±22.76,,17.63±2.77,,0.11±0.09,0.88±0.21,0.006±0.000,25.78±4.86,,116±27.9,453±126,10.56±0.05,0.81±0.17,14.86±0.87,1.48±0.06,1.08±0.03,2.28±0.06,4.84±0.11
,G013,"Garlic, single clove, Kashmir (Allium sativum)",64.49,6.12,0.16,4.01,23.46,523,0.25,0.22,0.42,1.86,0.97,2.85,92.25,,19,,0.23,1.01,0.003,41.13,,128,584,8.87,0.66,17.53,1.21,1.05,1.47,3.73
